Protein_Gene	RNA_Gene		
IGF2BP3	FKBP4		
IGF2BP3	FKBP8		
IGF2BP3	FLAD1		
IGF2BP3	FLCN		
IGF2BP3	FLII		
IGF2BP3	FLNA		
IGF2BP3	FLNB		
IGF2BP3	FLOT2		
IGF2BP3	FLYWCH1		
IGF2BP3	FMR1		
IGF2BP3	FN1		
IGF2BP3	FN3KRP		
IGF2BP3	FNBP1L		
IGF2BP3	FNBP4		
IGF2BP3	FOXA1		
IGF2BP3	FOXK1		
IGF2BP3	FOXK2		
IGF2BP3	FOXN2		
IGF2BP3	FOXO4		
IGF2BP3	FOXP2		
IGF2BP3	FOXRED1		
IGF2BP3	FOXRED2		
IGF2BP3	FPGT		
IGF2BP3	FRS2		
IGF2BP3	FSCN1		
IGF2BP3	FSTL1		
IGF2BP3	FTH1		
IGF2BP3	FTL		
IGF2BP3	FTSJ1		
IGF2BP3	FUBP1		
IGF2BP3	FUBP3		
IGF2BP3	FUCA1		
IGF2BP3	FUCA2		
IGF2BP3	FURIN		
IGF2BP3	FUS		
IGF2BP3	FXR1		
IGF2BP3	FXYD5		
IGF2BP3	FYCO1		
IGF2BP3	FYN		
IGF2BP3	FYTTD1		
IGF2BP3	FZD3		
IGF2BP3	FZD6		
IGF2BP3	G3BP1		
IGF2BP3	G6PD		
IGF2BP3	GABARAP		
IGF2BP3	GABARAPL1		
IGF2BP3	GABARAPL2		
IGF2BP3	GABPA		
IGF2BP3	GADD45A		
IGF2BP3	GAK		
IGF2BP3	GALNT1		
IGF2BP3	GALNT11		
IGF2BP3	GALNT2		
IGF2BP3	GANAB		
IGF2BP3	GANC		
IGF2BP3	GAPDH		
IGF2BP3	GAPVD1		
IGF2BP3	GARS		
IGF2BP3	GART		
IGF2BP3	GAS5		
IGF2BP3	GATA2-AS1		
IGF2BP3	GATA4		
IGF2BP3	GATAD2B		
IGF2BP3	GATS		
IGF2BP3	GBF1		
IGF2BP3	GCDH		
IGF2BP3	GCFC2		
IGF2BP3	GCN1		
IGF2BP3	GDAP2		
IGF2BP3	GDE1		
IGF2BP3	GDF11		
IGF2BP3	GDI1		
IGF2BP3	GDI2		
IGF2BP3	GEMIN4		
IGF2BP3	GEMIN5		
IGF2BP3	GEN1		
IGF2BP3	GFM2		
IGF2BP3	GGA2		
IGF2BP3	GGA3		
IGF2BP3	GGCT		
IGF2BP3	GGH		
IGF2BP3	GGPS1		
IGF2BP3	GHITM		
IGF2BP3	GID8		
IGF2BP3	GIGYF1		
IGF2BP3	GIGYF2		
IGF2BP3	GIT1		
IGF2BP3	GK		
IGF2BP3	GK5		
IGF2BP3	GLA		
IGF2BP3	GLB1		
IGF2BP3	GLE1		
IGF2BP3	GLG1		
IGF2BP3	GLI3		
IGF2BP3	GLO1		
IGF2BP3	GLOD4		
IGF2BP3	GLUD1		
IGF2BP3	GLUL		
IGF2BP3	GLYR1		
IGF2BP3	GMNN		
IGF2BP3	GMPPB		
IGF2BP3	GMPR2		
IGF2BP3	GNA13		
IGF2BP3	GNAL		
IGF2BP3	GNAQ		
IGF2BP3	GNAS		
IGF2BP3	GNB1		
IGF2BP3	GNB2		
IGF2BP3	GNB2L1		
IGF2BP3	GNL2		
IGF2BP3	GNL3		
IGF2BP3	GNPAT		
IGF2BP3	GNPDA1		
IGF2BP3	GOLGA3		
IGF2BP3	GOLGA4		
IGF2BP3	GOLGA7		
IGF2BP3	GOLM1		
IGF2BP3	GOLPH3L		
IGF2BP3	GOPC		
IGF2BP3	GORASP1		
IGF2BP3	GORASP2		
IGF2BP3	GOSR2		
IGF2BP3	GPAT3		
IGF2BP3	GPBP1		
IGF2BP3	GPBP1L1		
IGF2BP3	GPC6		
IGF2BP3	GPD2		
IGF2BP3	GPHN		
IGF2BP3	GPI		
IGF2BP3	GPR107		
IGF2BP3	GPR108		
IGF2BP3	GPR137		
IGF2BP3	GPR180		
IGF2BP3	GPRC5B		
IGF2BP3	GPS1		
IGF2BP3	GPS2		
IGF2BP3	GPT2		
IGF2BP3	GPX3		
IGF2BP3	GPX4		
IGF2BP3	GRAMD1A		
IGF2BP3	GRB10		
IGF2BP3	GREB1L		
IGF2BP3	GRID1		
IGF2BP3	GRINA		
IGF2BP3	GRIP1		
IGF2BP3	GRK6		
IGF2BP3	GRN		
IGF2BP3	GRPEL1		
IGF2BP3	GRWD1		
IGF2BP3	GS1-358P8.4		
IGF2BP3	GSE1		
IGF2BP3	GSG2		
IGF2BP3	GSKIP		
IGF2BP3	GSPT1		
IGF2BP3	GSR		
IGF2BP3	GSTCD		
IGF2BP3	GSTK1		
IGF2BP3	GTF2F1		
IGF2BP3	GTF2H1		
IGF2BP3	GTF3A		
IGF2BP3	GTF3C1		
IGF2BP3	GTF3C2		
IGF2BP3	GTF3C4		
IGF2BP3	GTF3C5		
IGF2BP3	GTPBP1		
IGF2BP3	GTPBP4		
IGF2BP3	GUCD1		
IGF2BP3	GUCY1A3		
IGF2BP3	GUCY1B3		
IGF2BP3	GYS1		
IGF2BP3	H1F0		
IGF2BP3	H2AFY		
IGF2BP3	H2AFZ		
IGF2BP3	H2BFS		
IGF2BP3	H3F3A		
IGF2BP3	H3F3B		
IGF2BP3	HACD3		
IGF2BP3	HACL1		
IGF2BP3	HADHA		
IGF2BP3	HADHB		
IGF2BP3	HAGLR		
IGF2BP3	HARS		
IGF2BP3	HAUS5		
IGF2BP3	HAX1		
IGF2BP3	HBS1L		
IGF2BP3	HCFC1		
IGF2BP3	HCFC2		
IGF2BP3	HDAC1		
IGF2BP3	HDAC2		
IGF2BP3	HDAC3		
IGF2BP3	HDAC4		
IGF2BP3	HDAC5		
IGF2BP3	HDDC2		
IGF2BP3	HDGF		
IGF2BP3	HDHD2		
IGF2BP3	HDLBP		
IGF2BP3	HEBP2		
IGF2BP3	HECTD1		
IGF2BP3	HECTD3		
IGF2BP3	HELLS		
IGF2BP3	HELZ		
IGF2BP3	HERPUD1		
IGF2BP3	HERPUD2		
IGF2BP3	HEY1		
IGF2BP3	HGS		
IGF2BP3	HIBADH		
IGF2BP3	HIC2		
IGF2BP3	HIF1AN		
IGF2BP3	HINT1		
IGF2BP3	HINT2		
IGF2BP3	HIP1		
IGF2BP3	HIPK1		
IGF2BP3	HIPK2		
IGF2BP3	HIRA		
IGF2BP3	HIRIP3		
IGF2BP3	HIST1H1D		
IGF2BP3	HIST1H2AC		
IGF2BP3	HIST1H2AG		
IGF2BP3	HIST1H2BC		
IGF2BP3	HIST1H2BD		
IGF2BP3	HIST1H2BF		
IGF2BP3	HIST1H2BJ		
IGF2BP3	HIST1H2BK		
IGF2BP3	HIST1H2BL		
IGF2BP3	HIST1H2BO		
IGF2BP3	HIST1H3H		
IGF2BP3	HIST1H4B		
IGF2BP3	HIST1H4D		
IGF2BP3	HIST1H4H		
IGF2BP3	HIST1H4J		
IGF2BP3	HIST2H2AB		
IGF2BP3	HIST2H2BE		
IGF2BP3	HIST2H2BF		
IGF2BP3	HJURP		
IGF2BP3	HK1		
IGF2BP3	HM13		
IGF2BP3	HMCES		
IGF2BP3	HMG20A		
IGF2BP3	HMGA2		
IGF2BP3	HMGB1		
IGF2BP3	HMGB2		
IGF2BP3	HMGB3		
IGF2BP3	HMGN1		
IGF2BP3	HMGN2		
IGF2BP3	HMGXB3		
IGF2BP3	HMMR		
IGF2BP3	HN1		
IGF2BP3	HN1L		
IGF2BP3	HNRNPA1		
IGF2BP3	HNRNPA2B1		
IGF2BP3	HNRNPA3		
IGF2BP3	HNRNPAB		
IGF2BP3	HNRNPC		
IGF2BP3	HNRNPD		
IGF2BP3	HNRNPDL		
IGF2BP3	HNRNPF		
IGF2BP3	HNRNPH1		
IGF2BP3	HNRNPH3		
IGF2BP3	HNRNPK		
IGF2BP3	HNRNPL		
IGF2BP3	HNRNPLL		
IGF2BP3	HNRNPM		
IGF2BP3	HNRNPR		
IGF2BP3	HNRNPU		
IGF2BP3	HNRNPUL1		
IGF2BP3	HOMER1		
IGF2BP3	HOMER2		
IGF2BP3	HOXA10		
IGF2BP3	HOXA3		
IGF2BP3	HOXA5		
IGF2BP3	HOXA6		
IGF2BP3	HOXA9		
IGF2BP3	HOXB3		
IGF2BP3	HOXB6		
IGF2BP3	HOXB9		
IGF2BP3	HOXB-AS3		
IGF2BP3	HOXC4		
IGF2BP3	HOXC6		
IGF2BP3	HOXD3		
IGF2BP3	HP1BP3		
IGF2BP3	HPGD		
IGF2BP3	HPS3		
IGF2BP3	HRSP12		
IGF2BP3	HS2ST1		
IGF2BP3	HS6ST2		
IGF2BP3	HSBP1		
IGF2BP3	HSD17B10		
IGF2BP3	HSD17B4		
IGF2BP3	HSDL1		
IGF2BP3	HSDL2		
IGF2BP3	HSF1		
IGF2BP3	HSF2		
IGF2BP3	HSP90AA1		
IGF2BP3	HSP90AB1		
IGF2BP3	HSP90B1		
IGF2BP3	HSPA12A		
IGF2BP3	HSPA13		
IGF2BP3	HSPA14		
IGF2BP3	HSPA4		
IGF2BP3	HSPA5		
IGF2BP3	HSPA8		
IGF2BP3	HSPA9		
IGF2BP3	HSPBP1		
IGF2BP3	HSPD1		
IGF2BP3	HSPE1		
IGF2BP3	HSPH1		
IGF2BP3	HTATIP2		
IGF2BP3	HTATSF1		
IGF2BP3	HTT		
IGF2BP3	HUWE1		
IGF2BP3	HYOU1		
IGF2BP3	IARS		
IGF2BP3	IARS2		
IGF2BP3	ICE1		
IGF2BP3	ICT1		
IGF2BP3	ID2		
IGF2BP3	IDH1		
IGF2BP3	IDH3A		
IGF2BP3	IDI1		
IGF2BP3	IDS		
IGF2BP3	IFNAR2		
IGF2BP3	IFNGR1		
IGF2BP3	IFNGR2		
IGF2BP3	IFRD1		
IGF2BP3	IFRD2		
IGF2BP3	IFT140		
IGF2BP3	IFT46		
IGF2BP3	IFT52		
IGF2BP3	IFT57		
IGF2BP3	IGF1R		
IGF2BP3	IGF2BP1		
IGF2BP3	IGF2BP2		
IGF2BP3	IGF2BP3		
IGF2BP3	IGF2R		
IGF2BP3	IK		
IGF2BP3	IKBKAP		
IGF2BP3	IL6ST		
IGF2BP3	ILF2		
IGF2BP3	ILF3		
IGF2BP3	IMMT		
IGF2BP3	IMP4		
IGF2BP3	IMPACT		
IGF2BP3	IMPDH1		
IGF2BP3	IMPDH2		
IGF2BP3	INCENP		
IGF2BP3	INO80		
IGF2BP3	INO80E		
IGF2BP3	INPP4A		
IGF2BP3	INPP5A		
IGF2BP3	INPPL1		
IGF2BP3	INSIG1		
IGF2BP3	INTS1		
IGF2BP3	INTS12		
IGF2BP3	INTS6		
IGF2BP3	INTS7		
IGF2BP3	IP6K1		
IGF2BP3	IP6K2		
IGF2BP3	IPMK		
IGF2BP3	IPO11		
IGF2BP3	IPO13		
IGF2BP3	IPO4		
IGF2BP3	IPO5		
IGF2BP3	IPO8		
IGF2BP3	IPO9		
IGF2BP3	IPPK		
IGF2BP3	IQCB1		
IGF2BP3	IQCE		
IGF2BP3	IQCJ-SCHIP1		
IGF2BP3	IQGAP1		
IGF2BP3	IQGAP3		
IGF2BP3	IQSEC1		
IGF2BP3	IRAK1		
IGF2BP3	IRF2BP2		
IGF2BP3	ISCU		
IGF2BP3	ISG20L2		
IGF2BP3	ISOC1		
IGF2BP3	IST1		
IGF2BP3	ISYNA1		
IGF2BP3	ITCH		
IGF2BP3	ITFG1		
IGF2BP3	ITGAV		
IGF2BP3	ITGB1		
IGF2BP3	ITGB1BP1		
IGF2BP3	ITGB2		
IGF2BP3	ITGB3BP		
IGF2BP3	ITGB5		
IGF2BP3	ITM2B		
IGF2BP3	ITM2C		
IGF2BP3	ITPK1		
IGF2BP3	ITPR2		
IGF2BP3	ITSN1		
IGF2BP3	ITSN2		
IGF2BP3	IVD		
IGF2BP3	IVNS1ABP		
IGF2BP3	IWS1		
IGF2BP3	JAG2		
IGF2BP3	JAGN1		
IGF2BP3	JAK1		
IGF2BP3	JAM3		
IGF2BP3	JARID2		
IGF2BP3	JMJD1C		
IGF2BP3	JMJD4		
IGF2BP3	JMJD8		
IGF2BP3	JOSD1		
IGF2BP3	JPH3		
IGF2BP3	JRK		
IGF2BP3	JTB		
IGF2BP3	JUN		
IGF2BP3	KANSL1		
IGF2BP3	KANSL2		
IGF2BP3	KARS		
IGF2BP3	KAT2A		
IGF2BP3	KAT2B		
IGF2BP3	KAT6A		
IGF2BP3	KAT7		
IGF2BP3	KAT8		
IGF2BP3	KBTBD4		
IGF2BP3	KCNC1		
IGF2BP3	KCTD10		
IGF2BP3	KCTD13		
IGF2BP3	KCTD15		
IGF2BP3	KCTD19		
IGF2BP3	KCTD20		
IGF2BP3	KCTD7		
IGF2BP3	KCTD9		
IGF2BP3	KDELC2		
IGF2BP3	KDELR1		
IGF2BP3	KDELR2		
IGF2BP3	KDM1A		
IGF2BP3	KDM2B		
IGF2BP3	KDM3A		
IGF2BP3	KDM3B		
IGF2BP3	KDM4A		
IGF2BP3	KDM4B		
IGF2BP3	KDM4C		
IGF2BP3	KDM5A		
IGF2BP3	KDM5C		
IGF2BP3	KDM6A		
IGF2BP3	KDSR		
IGF2BP3	KHDRBS1		
IGF2BP3	KHNYN		
IGF2BP3	KHSRP		
IGF2BP3	KIAA0100		
IGF2BP3	KIAA0196		
IGF2BP3	KIAA0232		
IGF2BP3	KIAA0319L		
IGF2BP3	KIAA0368		
IGF2BP3	KIAA0391		
IGF2BP3	KIAA0895		
IGF2BP3	KIAA0907		
IGF2BP3	KIAA1143		
IGF2BP3	KIAA1468		
IGF2BP3	KIAA1522		
IGF2BP3	KIAA1551		
IGF2BP3	KIAA1586		
IGF2BP3	KIAA1715		
IGF2BP3	KIAA2013		
IGF2BP3	KIAA2026		
IGF2BP3	KIDINS220		
IGF2BP3	KIF11		
IGF2BP3	KIF18B		
IGF2BP3	KIF1A		
IGF2BP3	KIF1BP		
IGF2BP3	KIF1C		
IGF2BP3	KIF20A		
IGF2BP3	KIF21A		
IGF2BP3	KIF22		
IGF2BP3	KIF2A		
IGF2BP3	KIF2C		
IGF2BP3	KIF3B		
IGF2BP3	KIF7		
IGF2BP3	KLC1		
IGF2BP3	KLC2		
IGF2BP3	KLF10		
IGF2BP3	KLF12		
IGF2BP3	KLF6		
IGF2BP3	KLHDC2		
IGF2BP3	KLHL13		
IGF2BP3	KLHL15		
IGF2BP3	KLHL18		
IGF2BP3	KLHL23		
IGF2BP3	KLHL24		
IGF2BP3	KLHL42		
IGF2BP3	KLHL9		
IGF2BP3	KMT2A		
IGF2BP3	KMT2C		
IGF2BP3	KMT2E		
IGF2BP3	KNOP1		
IGF2BP3	KPNA1		
IGF2BP3	KPNA2		
IGF2BP3	KPNA3		
IGF2BP3	KPNA6		
IGF2BP3	KPNB1		
IGF2BP3	KREMEN1		
IGF2BP3	KRR1		
IGF2BP3	KRTCAP2		
IGF2BP3	KSR1		
IGF2BP3	KTN1		
IGF2BP3	KXD1		
IGF2BP3	L3HYPDH		
IGF2BP3	LAGE3		
IGF2BP3	LAMB1		
IGF2BP3	LAMC1		
IGF2BP3	LAMP1		
IGF2BP3	LAMTOR1		
IGF2BP3	LAMTOR5		
IGF2BP3	LANCL1		
IGF2BP3	LAPTM4A		
IGF2BP3	LAPTM4B		
IGF2BP3	LARP1		
IGF2BP3	LARP1B		
IGF2BP3	LARP4		
IGF2BP3	LARP4B		
IGF2BP3	LARP7		
IGF2BP3	LARS		
IGF2BP3	LARS2		
IGF2BP3	LATS1		
IGF2BP3	LBR		
IGF2BP3	LCMT1		
IGF2BP3	LCOR		
IGF2BP3	LCORL		
IGF2BP3	LDB1		
IGF2BP3	LDHA		
IGF2BP3	LDHB		
IGF2BP3	LDLRAD4		
IGF2BP3	LEF1		
IGF2BP3	LENG8		
IGF2BP3	LETM1		
IGF2BP3	LGALS3BP		
IGF2BP3	LHFP		
IGF2BP3	LIMA1		
IGF2BP3	LIMS1		
IGF2BP3	LIN28B		
IGF2BP3	LINC00630		
IGF2BP3	LINC00657		
IGF2BP3	LINC00894		
IGF2BP3	LINC01420		
IGF2BP3	LITAF		
IGF2BP3	LLGL1		
IGF2BP3	LMAN1		
IGF2BP3	LMAN2		
IGF2BP3	LMBR1		
IGF2BP3	LMLN		
IGF2BP3	LMNA		
IGF2BP3	LMNB1		
IGF2BP3	LMNB2		
IGF2BP3	LMO4		
IGF2BP3	LONRF3		
IGF2BP3	LPCAT3		
IGF2BP3	LRBA		
IGF2BP3	LRIG1		
IGF2BP3	LRP3		
IGF2BP3	LRP5		
IGF2BP3	LRP6		
IGF2BP3	LRP8		
IGF2BP3	LRPAP1		
IGF2BP3	LRPPRC		
IGF2BP3	LRR1		
IGF2BP3	LRRC41		
IGF2BP3	LRRC47		
IGF2BP3	LRRC59		
IGF2BP3	LRRC61		
IGF2BP3	LRRC75A-AS1		
IGF2BP3	LRRC8D		
IGF2BP3	LSM1		
IGF2BP3	LSM14A		
IGF2BP3	LSM14B		
IGF2BP3	LSM4		
IGF2BP3	LSM5		
IGF2BP3	LSR		
IGF2BP3	LTA4H		
IGF2BP3	LUC7L		
IGF2BP3	LUC7L2		
IGF2BP3	LUC7L3		
IGF2BP3	LYN		
IGF2BP3	LYPLAL1		
IGF2BP3	LYRM5		
IGF2BP3	LZIC		
IGF2BP3	LZTS2		
IGF2BP3	M6PR		
IGF2BP3	MACF1		
IGF2BP3	MAD2L1		
IGF2BP3	MAD2L2		
IGF2BP3	MAEA		
IGF2BP3	MAF1		
IGF2BP3	MAGED2		
IGF2BP3	MAGI1		
IGF2BP3	MAGI3		
IGF2BP3	MAGOH		
IGF2BP3	MAGOHB		
IGF2BP3	MAK16		
IGF2BP3	MALAT1		
IGF2BP3	MALSU1		
IGF2BP3	MAML1		
IGF2BP3	MAN1A2		
IGF2BP3	MAN2A2		
IGF2BP3	MAP1A		
IGF2BP3	MAP1B		
IGF2BP3	MAP2K1		
IGF2BP3	MAP2K3		
IGF2BP3	MAP2K4		
IGF2BP3	MAP3K10		
IGF2BP3	MAP3K2		
IGF2BP3	MAP3K3		
IGF2BP3	MAP3K4		
IGF2BP3	MAP3K7		
IGF2BP3	MAP4		
IGF2BP3	MAP4K4		
IGF2BP3	MAP6D1		
IGF2BP3	MAP7D1		
IGF2BP3	MAPK1		
IGF2BP3	MAPK14		
IGF2BP3	MAPK3		
IGF2BP3	MAPK8		
IGF2BP3	MAPKAP1		
IGF2BP3	MAPKAPK5		
IGF2BP3	MAPKBP1		
IGF2BP3	MAPRE1		
IGF2BP3	MARCH1		
IGF2BP3	MARCH6		
IGF2BP3	MARCH7		
IGF2BP3	MARCH8		
IGF2BP3	MARCKS		
IGF2BP3	MARCKSL1		
IGF2BP3	MARK2		
IGF2BP3	MARK4		
IGF2BP3	MARS		
IGF2BP3	MARVELD1		
IGF2BP3	MAST2		
IGF2BP3	MAST3		
IGF2BP3	MAT2A		
IGF2BP3	MAT2B		
IGF2BP3	MATR3		
IGF2BP3	MAU2		
IGF2BP3	MAX		
IGF2BP3	MAZ		
IGF2BP3	MBD1		
IGF2BP3	MBD2		
IGF2BP3	MBD3		
IGF2BP3	MBD4		
IGF2BP3	MBD6		
IGF2BP3	MBIP		
IGF2BP3	MBNL2		
IGF2BP3	MBNL3		
IGF2BP3	MBOAT2		
IGF2BP3	MBOAT7		
IGF2BP3	MCC		
IGF2BP3	MCCC2		
IGF2BP3	MCL1		
IGF2BP3	MCM10		
IGF2BP3	MCM2		
IGF2BP3	MCM3		
IGF2BP3	MCM3AP		
IGF2BP3	MCM4		
IGF2BP3	MCM5		
IGF2BP3	MCM7		
IGF2BP3	MCM9		
IGF2BP3	MCRS1		
IGF2BP3	MDH1		
IGF2BP3	MDH2		
IGF2BP3	MDK		
IGF2BP3	MDM2		
IGF2BP3	MDM4		
IGF2BP3	MDN1		
IGF2BP3	MEAF6		
IGF2BP3	MED12L		
IGF2BP3	MED13L		
IGF2BP3	MED14		
IGF2BP3	MED15		
IGF2BP3	MED24		
IGF2BP3	MED25		
IGF2BP3	MED26		
IGF2BP3	MED27		
IGF2BP3	MED28		
IGF2BP3	MED29		
IGF2BP3	MEF2A		
IGF2BP3	MEF2D		
IGF2BP3	MEIS1		
IGF2BP3	MELK		
IGF2BP3	MEN1		
IGF2BP3	MET		
IGF2BP3	METAP1		
IGF2BP3	METAP2		
IGF2BP3	METTL10		
IGF2BP3	METTL13		
IGF2BP3	METTL23		
IGF2BP3	METTL3		
IGF2BP3	MEX3C		
IGF2BP3	MFF		
IGF2BP3	MFGE8		
IGF2BP3	MFN2		
IGF2BP3	MFSD10		
IGF2BP3	MFSD12		
IGF2BP3	MGA		
IGF2BP3	MGAT4B		
IGF2BP3	MGAT5		
IGF2BP3	MGEA5		
IGF2BP3	MGME1		
IGF2BP3	MGRN1		
IGF2BP3	MGST2		
IGF2BP3	MIB1		
IGF2BP3	MICAL1		
IGF2BP3	MICALL1		
IGF2BP3	MID1		
IGF2BP3	MIDN		
IGF2BP3	MIEN1		
IGF2BP3	MIER3		
IGF2BP3	MIF		
IGF2BP3	MIF4GD		
IGF2BP3	MINA		
IGF2BP3	MIR193BHG		
IGF2BP3	MIR3687		
IGF2BP3	MIS18A		
IGF2BP3	MKI67		
IGF2BP3	MKL1		
IGF2BP3	MKLN1		
IGF2BP3	MKNK2		
IGF2BP3	MKRN2		
IGF2BP3	MLEC		
IGF2BP3	MLF2		
IGF2BP3	MLLT1		
IGF2BP3	MLLT10		
IGF2BP3	MLLT3		
IGF2BP3	MLLT4		
IGF2BP3	MLLT6		
IGF2BP3	MLST8		
IGF2BP3	MLX		
IGF2BP3	MLXIP		
IGF2BP3	MMAA		
IGF2BP3	MMADHC		
IGF2BP3	MMD		
IGF2BP3	MNAT1		
IGF2BP3	MNX1		
IGF2BP3	MOCS2		
IGF2BP3	MOGS		
IGF2BP3	MON2		
IGF2BP3	MORC2		
IGF2BP3	MORF4L1		
IGF2BP3	MORF4L2		
IGF2BP3	MOV10		
IGF2BP3	MPHOSPH6		
IGF2BP3	MPHOSPH9		
IGF2BP3	MPI		
IGF2BP3	MPP1		
IGF2BP3	MPP2		
IGF2BP3	MPP6		
IGF2BP3	MPV17		
IGF2BP3	MPZL1		
IGF2BP3	MRFAP1		
IGF2BP3	MRPL10		
IGF2BP3	MRPL11		
IGF2BP3	MRPL15		
IGF2BP3	MRPL16		
IGF2BP3	MRPL19		
IGF2BP3	MRPL20		
IGF2BP3	MRPL37		
IGF2BP3	MRPL39		
IGF2BP3	MRPL45		
IGF2BP3	MRPL49		
IGF2BP3	MRPL51		
IGF2BP3	MRPL53		
IGF2BP3	MRPL55		
IGF2BP3	MRPL9		
IGF2BP3	MRPS14		
IGF2BP3	MRPS15		
IGF2BP3	MRPS2		
IGF2BP3	MRPS21		
IGF2BP3	MRPS25		
IGF2BP3	MRPS27		
IGF2BP3	MRPS30		
IGF2BP3	MRPS35		
IGF2BP3	MRRF		
IGF2BP3	MSANTD2		
IGF2BP3	MSH2		
IGF2BP3	MSL1		
IGF2BP3	MSL3		
IGF2BP3	MTA1		
IGF2BP3	MTCH1		
IGF2BP3	MTCH2		
IGF2BP3	MTCL1		
IGF2BP3	MTDH		
IGF2BP3	MTF2		
IGF2BP3	MTFR1		
IGF2BP3	MTHFD1		
IGF2BP3	MTHFD1L		
IGF2BP3	MTHFD2		
IGF2BP3	MTMR1		
IGF2BP3	MTMR3		
IGF2BP3	MTMR4		
IGF2BP3	MT-ND4		
IGF2BP3	MT-ND5		
IGF2BP3	MTOR		
IGF2BP3	MTPN		
IGF2BP3	MTRF1L		
IGF2BP3	MT-RNR1		
IGF2BP3	MT-RNR2		
IGF2BP3	MTRNR2L12		
IGF2BP3	MTRR		
IGF2BP3	MTSS1L		
IGF2BP3	MTUS2		
IGF2BP3	MTX2		
IGF2BP3	MUL1		
IGF2BP3	MXD4		
IGF2BP3	MXI1		
IGF2BP3	MXRA7		
IGF2BP3	MYADM		
IGF2BP3	MYBBP1A		
IGF2BP3	MYBL2		
IGF2BP3	MYC		
IGF2BP3	MYCBP		
IGF2BP3	MYCBP2		
IGF2BP3	MYH10		
IGF2BP3	MYH9		
IGF2BP3	MYL12B		
IGF2BP3	MYL6		
IGF2BP3	MYO19		
IGF2BP3	MYO1B		
IGF2BP3	MYO1C		
IGF2BP3	MYO1D		
IGF2BP3	MYO1E		
IGF2BP3	MYSM1		
IGF2BP3	MZT1		
IGF2BP3	N4BP1		
IGF2BP3	N6AMT1		
IGF2BP3	NAA10		
IGF2BP3	NAA20		
IGF2BP3	NAA25		
IGF2BP3	NAA38		
IGF2BP3	NAA40		
IGF2BP3	NAA50		
IGF2BP3	NAA60		
IGF2BP3	NAB1		
IGF2BP3	NACA		
IGF2BP3	NACC1		
IGF2BP3	NACC2		
IGF2BP3	NADK		
IGF2BP3	NAGK		
IGF2BP3	NAP1L1		
IGF2BP3	NAP1L4		
IGF2BP3	NARF		
IGF2BP3	NARS		
IGF2BP3	NAT10		
IGF2BP3	NAT14		
IGF2BP3	NAT8L		
IGF2BP3	NBN		
IGF2BP3	NBPF10		
IGF2BP3	NBPF15		
IGF2BP3	NCAM1		
IGF2BP3	NCAPD2		
IGF2BP3	NCAPD3		
IGF2BP3	NCAPG		
IGF2BP3	NCAPG2		
IGF2BP3	NCAPH		
IGF2BP3	NCBP2		
IGF2BP3	NCBP3		
IGF2BP3	NCDN		
IGF2BP3	NCK2		
IGF2BP3	NCKAP1		
IGF2BP3	NCL		
IGF2BP3	NCLN		
IGF2BP3	NCOA2		
IGF2BP3	NCOA4		
IGF2BP3	NCOA5		
IGF2BP3	NCOA6		
IGF2BP3	NCOR1		
IGF2BP3	NCOR2		
IGF2BP3	NCR3LG1		
IGF2BP3	NCSTN		
IGF2BP3	NDC1		
IGF2BP3	NDEL1		
IGF2BP3	NDFIP2		
IGF2BP3	NDST1		
IGF2BP3	NDUFA10		
IGF2BP3	NDUFA11		
IGF2BP3	NDUFA12		
IGF2BP3	NDUFA4		
IGF2BP3	NDUFA6		
IGF2BP3	NDUFA9		
IGF2BP3	NDUFAB1		
IGF2BP3	NDUFAF3		
IGF2BP3	NDUFAF4		
IGF2BP3	NDUFB10		
IGF2BP3	NDUFB3		
IGF2BP3	NDUFB9		
IGF2BP3	NDUFS1		
IGF2BP3	NDUFS2		
IGF2BP3	NDUFV1		
IGF2BP3	NEAT1		
IGF2BP3	NECAP1		
IGF2BP3	NECAP2		
IGF2BP3	NEDD1		
IGF2BP3	NEDD8		
IGF2BP3	NEK1		
IGF2BP3	NEK4		
IGF2BP3	NEK6		
IGF2BP3	NELFB		
IGF2BP3	NELFCD		
IGF2BP3	NEMF		
IGF2BP3	NEMP1		
IGF2BP3	NEO1		
IGF2BP3	NET1		
IGF2BP3	NF1		
IGF2BP3	NF2		
IGF2BP3	NFATC2IP		
IGF2BP3	NFE2L1		
IGF2BP3	NFIA		
IGF2BP3	NFIB		
IGF2BP3	NFIC		
IGF2BP3	NFKB1		
IGF2BP3	NFRKB		
IGF2BP3	NFX1		
IGF2BP3	NFYC		
IGF2BP3	NGDN		
IGF2BP3	NHLRC2		
IGF2BP3	NHSL1		
IGF2BP3	NID1		
IGF2BP3	NID2		
IGF2BP3	NIF3L1		
IGF2BP3	NIN		
IGF2BP3	NIP7		
IGF2BP3	NIPBL		
IGF2BP3	NISCH		
IGF2BP3	NIT1		
IGF2BP3	NIT2		
IGF2BP3	NKIRAS2		
IGF2BP3	NKTR		
IGF2BP3	NLE1		
IGF2BP3	NLK		
IGF2BP3	NME1		
IGF2BP3	NME2		
IGF2BP3	NME4		
IGF2BP3	NMT1		
IGF2BP3	NOB1		
IGF2BP3	NOL12		
IGF2BP3	NOL7		
IGF2BP3	NOL8		
IGF2BP3	NOLC1		
IGF2BP3	NONO		
IGF2BP3	NOP10		
IGF2BP3	NOP14		
