Protein_Gene	RNA_Gene		
IGF2BP1	DDX24		
IGF2BP1	DDX39A		
IGF2BP1	DDX3X		
IGF2BP1	DDX41		
IGF2BP1	DDX42		
IGF2BP1	DDX46		
IGF2BP1	DDX49		
IGF2BP1	DDX5		
IGF2BP1	DDX50		
IGF2BP1	DDX54		
IGF2BP1	DDX55		
IGF2BP1	DDX56		
IGF2BP1	DEF8		
IGF2BP1	DEK		
IGF2BP1	DENND4A		
IGF2BP1	DENND4B		
IGF2BP1	DENND4C		
IGF2BP1	DENND5A		
IGF2BP1	DEPDC1		
IGF2BP1	DEPDC1B		
IGF2BP1	DERA		
IGF2BP1	DERL2		
IGF2BP1	DERL3		
IGF2BP1	DESI2		
IGF2BP1	DFFA		
IGF2BP1	DGCR14		
IGF2BP1	DGCR2		
IGF2BP1	DGCR8		
IGF2BP1	DGUOK		
IGF2BP1	DHCR24		
IGF2BP1	DHCR7		
IGF2BP1	DHDDS		
IGF2BP1	DHFR		
IGF2BP1	DHTKD1		
IGF2BP1	DHX15		
IGF2BP1	DHX30		
IGF2BP1	DHX33		
IGF2BP1	DHX36		
IGF2BP1	DHX38		
IGF2BP1	DHX40		
IGF2BP1	DHX8		
IGF2BP1	DHX9		
IGF2BP1	DIAPH1		
IGF2BP1	DICER1		
IGF2BP1	DIDO1		
IGF2BP1	DIS3		
IGF2BP1	DIXDC1		
IGF2BP1	DKC1		
IGF2BP1	DLAT		
IGF2BP1	DLC1		
IGF2BP1	DLD		
IGF2BP1	DLG5		
IGF2BP1	DLGAP4		
IGF2BP1	DLX2		
IGF2BP1	DMKN		
IGF2BP1	DMTF1		
IGF2BP1	DMXL1		
IGF2BP1	DNAAF5		
IGF2BP1	DNAH14		
IGF2BP1	DNAJA1		
IGF2BP1	DNAJA2		
IGF2BP1	DNAJB1		
IGF2BP1	DNAJB12		
IGF2BP1	DNAJB14		
IGF2BP1	DNAJB6		
IGF2BP1	DNAJC11		
IGF2BP1	DNAJC13		
IGF2BP1	DNAJC5		
IGF2BP1	DNAJC7		
IGF2BP1	DNAJC8		
IGF2BP1	DNAJC9		
IGF2BP1	DNM1L		
IGF2BP1	DNMT1		
IGF2BP1	DNMT3B		
IGF2BP1	DNTTIP2		
IGF2BP1	DONSON		
IGF2BP1	DOT1L		
IGF2BP1	DPAGT1		
IGF2BP1	DPH1		
IGF2BP1	DPH2		
IGF2BP1	DPH5		
IGF2BP1	DPM1		
